id,product_id,month,historic,score_id,0,30,60,90,120,150,180,payment,prepayment,writeoff,provision,date_from,date_until
46,tarjeta de credito,7,TRUE,90,0.0304077,0.0061265,0.0134415,0.0146646,0.9353596,0,0,0.064640385,0,0,0.4,30/06/2017,
47,tarjeta de credito,7,TRUE,120,0.005907,0.0017428,0.0030089,0.0008588,0.0081023,0.9803802,0,0.019619805,0,0,0.6,30/06/2017,
48,tarjeta de credito,7,TRUE,150,0,0.0058982,0.0003889,0.0008755,0.003073,0.0024564,0.9873081,0.012691885,0,0,0.8,30/06/2017,
49,tarjeta de credito,7,TRUE,180,0,0,0,0,0,0,1,0,0,1,1,30/06/2017,
50,tarjeta de credito,8,TRUE,0,0.9698054,0.0301946,0,0,0,0,0,0.969805366,1,0,0.03,30/06/2017,
51,tarjeta de credito,8,TRUE,30,0.3185522,0.0541415,0.6273063,0,0,0,0,0.372693679,0,0,0.05,30/06/2017,
52,tarjeta de credito,8,TRUE,60,0.1501997,0.0413102,0.0173566,0.7911335,0,0,0,0.208866521,0,0,0.15,30/06/2017,
53,tarjeta de credito,8,TRUE,90,0.0304077,0.0061265,0.0134415,0.0146646,0.9353596,0,0,0.064640385,0,0,0.4,30/06/2017,
54,tarjeta de credito,8,TRUE,120,0.005907,0.0017428,0.0030089,0.0008588,0.0081023,0.9803802,0,0.019619805,0,0,0.6,30/06/2017,
55,tarjeta de credito,8,TRUE,150,0,0.0058982,0.0003889,0.0008755,0.003073,0.0024564,0.9873081,0.012691885,0,0,0.8,30/06/2017,
56,tarjeta de credito,8,TRUE,180,0,0,0,0,0,0,1,0,0,1,1,30/06/2017,
57,tarjeta de credito,9,TRUE,0,0.9708905,0.0291095,0,0,0,0,0,0.970890498,1,0,0.03,30/06/2017,
58,tarjeta de credito,9,TRUE,30,0.324603,0.0721331,0.3200195,0.2832445,0,0,0,0.396736046,0,0,0.05,30/06/2017,
59,tarjeta de credito,9,TRUE,60,0.0702144,0.0415696,0.0189918,0.8692242,0,0,0,0.130775814,0,0,0.15,30/06/2017,
60,tarjeta de credito,9,TRUE,90,0.0304077,0.0061265,0.0134415,0.0146646,0.9353596,0,0,0.064640385,0,0,0.4,30/06/2017,
61,tarjeta de credito,9,TRUE,120,0.005907,0.0017428,0.0030089,0.0008588,0.0081023,0.9803802,0,0.019619805,0,0,0.6,30/06/2017,
62,tarjeta de credito,9,TRUE,150,0,0.0058982,0.0003889,0.0008755,0.003073,0.0024564,0.9873081,0.012691885,0,0,0.8,30/06/2017,
63,tarjeta de credito,9,TRUE,180,0,0,0,0,0,0,1,0,0,1,1,30/06/2017,
64,tarjeta de credito,10,TRUE,0,0.9654168,0.0345832,0,0,0,0,0,0.965416805,1,0,0.03,30/06/2017,
65,tarjeta de credito,10,TRUE,30,0.3044668,0.0559268,0.6396064,0,0,0,0,0.360393572,0,0,0.05,30/06/2017,
66,tarjeta de credito,10,TRUE,60,0.0637967,0.0164623,0.0173991,0.9023419,0,0,0,0.09765808,0,0,0.15,30/06/2017,
67,tarjeta de credito,10,TRUE,90,0.0304077,0.0061265,0.0134415,0.0146646,0.9353596,0,0,0.064640385,0,0,0.4,30/06/2017,
68,tarjeta de credito,10,TRUE,120,0.005907,0.0017428,0.0030089,0.0008588,0.0081023,0.9803802,0,0.019619805,0,0,0.6,30/06/2017,
69,tarjeta de credito,10,TRUE,150,0,0.0058982,0.0003889,0.0008755,0.003073,0.0024564,0.9873081,0.012691885,0,0,0.8,30/06/2017,
70,tarjeta de credito,10,TRUE,180,0,0,0,0,0,0,1,0,0,1,1,30/06/2017,
71,tarjeta de credito,11,TRUE,0,0.9722244,0.0277757,0,0,0,0,0,0.972224449,1,0,0.03,30/06/2017,
72,tarjeta de credito,11,TRUE,30,0.3861831,0.0458261,0.5679872,0,0,0,0,0.432009118,0,0,0.05,30/06/2017,
73,tarjeta de credito,11,TRUE,60,0.0933033,0.0522277,0.0163803,0.8380887,0,0,0,0.161911324,0,0,0.15,30/06/2017,
74,tarjeta de credito,11,TRUE,90,0.0304077,0.0061265,0.0134415,0.0146646,0.9353596,0,0,0.064640385,0,0,0.4,30/06/2017,
75,tarjeta de credito,11,TRUE,120,0.005907,0.0017428,0.0030089,0.0008588,0.0081023,0.9803802,0,0.019619805,0,0,0.6,30/06/2017,
76,tarjeta de credito,11,TRUE,150,0,0.0058982,0.0003889,0.0008755,0.003073,0.0024564,0.9873081,0.012691885,0,0,0.8,30/06/2017,
77,tarjeta de credito,11,TRUE,180,0,0,0,0,0,0,1,0,0,1,1,30/06/2017,
78,tarjeta de credito,12,TRUE,0,0.9722004,0.0147442,0.0130554,0,0,0,0,0.972200385,1,0,0.03,30/06/2017,
79,tarjeta de credito,12,TRUE,30,0.3066161,0.0148064,0.3940213,0.2845562,0,0,0,0.321422572,0,0,0.05,30/06/2017,
80,tarjeta de credito,12,TRUE,60,0.0336977,0.0046872,0.0177024,0.9439128,0,0,0,0.056087247,0,0,0.15,30/06/2017,
81,tarjeta de credito,12,TRUE,90,0.0304077,0.0061265,0.0134415,0.0146646,0.9353596,0,0,0.064640385,0,0,0.4,30/06/2017,
82,tarjeta de credito,12,TRUE,120,0.005907,0.0017428,0.0030089,0.0008588,0.0081023,0.9803802,0,0.019619805,0,0,0.6,30/06/2017,
83,tarjeta de credito,12,TRUE,150,0,0.0058982,0.0003889,0.0008755,0.003073,0.0024564,0.9873081,0.012691885,0,0,0.8,30/06/2017,
84,tarjeta de credito,12,TRUE,180,0,0,0,0,0,0,1,0,0,1,1,30/06/2017,
